,datetime,AverageCompound
0,2012-05-23,0.2263000000000248
1,2012-09-11,0.0
2,2012-10-04,-0.5266999999999373
3,2014-02-04,-0.4767000000000667
4,2014-02-13,0.3400000000000108
5,2014-02-19,0.07719999999999388
6,2014-03-25,0.0
7,2014-06-29,-0.06588052764595323
8,2015-08-28,0.4403999999999619
9,2015-12-02,0.34000000000001085
10,2016-02-24,0.0771999999999939
11,2016-05-09,0.22630000000002476
12,2016-05-11,0.07719999999999393
13,2016-11-10,-0.2410999999999724
14,2016-11-14,0.07719999999999391
15,2016-11-16,-0.20229999999997972
16,2017-04-18,0.22630000000002476
17,2017-05-18,0.0
18,2017-06-27,-0.3818000000000744
19,2017-09-06,0.22630000000002476
20,2017-09-21,0.1027000000000184
21,2017-10-02,-0.27320000000003863
22,2017-10-30,0.051600000000004365
23,2017-11-01,0.0
24,2018-01-11,0.22630000000002476
25,2018-03-17,0.1027000000000184
26,2018-03-19,0.0
27,2018-03-20,0.3182000000000148
28,2018-03-25,0.1027000000000184
29,2018-03-28,0.7183999999999878
30,2018-04-04,-0.2410999999999724
31,2018-04-08,0.34000000000001096
32,2018-04-10,0.0
33,2018-04-11,0.2263000000000248
34,2018-04-15,-0.051600000000004365
35,2018-04-25,-0.20229999999997966
36,2018-06-03,-0.22732963534276163
37,2018-06-06,0.3818000000000744
38,2018-07-11,0.7183999999999879
39,2018-07-26,0.3400000000000109
40,2018-07-31,0.1027000000000184
41,2018-09-28,-0.47670000000006674
42,2018-10-03,0.4403999999999618
43,2018-10-25,0.4403999999999619
44,2018-10-30,-0.20229999999997975
45,2018-11-14,0.25
46,2018-12-05,-0.3611999999999752
47,2018-12-18,-0.40361878814024577
48,2019-01-25,-0.3611999999999753
49,2019-01-29,0.4403999999999618
50,2019-02-18,-0.31820000000001464
51,2019-03-13,-0.5574000000000185
52,2019-03-14,0.31820000000001464
53,2019-03-21,0.22630000000002476
54,2019-03-22,0.7183999999999877
55,2019-03-27,-0.3818000000000744
56,2019-03-28,0.25
57,2019-04-04,-0.5266999999999371
58,2019-04-24,0.051600000000004365
59,2019-04-30,-0.5574000000000187
60,2019-05-03,0.4587999999999768
61,2019-05-09,0.0
62,2019-06-03,-0.17380753995176493
63,2019-06-18,0.31820000000001475
64,2019-07-01,0.1027000000000184
65,2019-07-12,-0.501700000000051
66,2019-07-13,0.22630000000002476
67,2019-07-25,0.3818000000000744
68,2019-08-13,-0.2960000000000042
69,2019-10-21,0.0
70,2020-01-07,0.4403999999999618
71,2020-01-09,-0.2732000000000387
72,2020-01-29,-0.3818000000000744
73,2020-04-16,-0.2022999999999797
74,2020-04-22,0.051600000000004365
75,2020-04-24,0.0
76,2020-05-15,0.10270000000001839
77,2020-05-19,0.10270000000001839
78,2020-05-21,0.3818000000000744
79,2020-06-01,0.0
80,2020-06-28,-0.1395500000000805
81,2020-06-29,-0.9099999999999048
82,2020-08-03,0.0771999999999939
83,2020-08-19,-0.47670000000006674
84,2020-10-06,0.029055244979517027
85,2020-10-07,-0.9099999999999049
86,2020-10-13,0.3040547973098498
87,2020-10-14,0.7183999999999877
88,2020-11-05,0.1027000000000184
89,2020-11-17,-0.3818000000000744
90,2020-12-03,-0.5574000000000188
91,2020-12-09,-0.2960000000000041
92,2021-01-07,-0.2787000000000092
93,2021-01-08,-0.4767000000000667
94,2021-01-13,-0.2960000000000041
95,2021-01-14,-0.9099999999999049
96,2021-01-15,-0.24109999999997242
97,2021-01-27,-0.08492981353056975
98,2021-02-10,0.10270000000001839
99,2021-02-19,0.051600000000004365
100,2021-02-22,0.25
101,2021-03-09,-0.3182000000000146
102,2021-03-15,-0.7350999999999338
103,2021-03-24,-0.2022999999999797
104,2021-03-25,0.2522999999999352
105,2021-04-01,0.07719999999999393
106,2021-04-03,-0.5574000000000185
107,2021-04-04,-0.051600000000004365
108,2021-04-05,0.07719999999999388
109,2021-04-19,0.0
110,2021-04-25,-0.7350999999999338
111,2021-05-22,0.3210968143702287
112,2021-05-25,0.0
113,2021-06-01,-0.4767000000000666
114,2021-06-08,0.0018877505183225258
115,2021-06-15,-0.018338175981489437
116,2021-06-16,0.3576428099631914
117,2021-06-17,0.08186417940227901
118,2021-06-18,-0.057196623565857856
119,2021-06-19,-0.16360033591440398
120,2021-06-20,-0.28762089816404807
121,2021-06-21,-0.0953519328146464
